player_id,team_id,games_with,games_without,defensive_eff_improv,offensive_eff_improv,possessions_increase,ast_tov_ratio_increase
camdenhells-levent,camdenhells,2.00,3.00,33.80,12.54,-6.19,-0.16
rockets-malachi,camdenhells,2.00,3.00,33.80,12.54,-6.19,-0.16
burritos-wouter,burritos,4.00,2.00,31.60,-12.64,1.09,0.02
lions-mychelle,bbcballers,2.00,3.00,29.79,3.45,4.18,0.03
greenmachine-andris,greenmachine,2.00,3.00,28.71,6.29,10.00,0.28
rockets-paul,rockets,3.00,3.00,19.32,4.15,1.54,0.20
rockets-janis,rockets,3.00,3.00,19.32,4.15,1.54,0.20
greenmachine-victoria,greenmachine,3.00,2.00,18.65,-5.84,10.19,-0.18
lostangels-carlotta,lostangels,5.00,2.00,17.87,9.50,-2.49,0.46
lions-saulius,lions,3.00,3.00,17.70,22.46,7.35,0.31
rockets-malachi,rockets,3.00,2.00,17.52,16.98,-4.72,-0.07
greenmachine-itai,greenmachine,2.00,3.00,14.50,29.11,9.20,0.37
rockets-alex,rockets,4.00,2.00,12.29,-5.15,0.46,-0.09
rockets-marc,rockets,4.00,2.00,11.99,11.35,-4.75,-0.19
bbcballers-amir,bbcballers,2.00,4.00,9.97,7.94,6.65,0.22
lions-mychelle,lions,4.00,2.00,9.68,8.34,5.09,0.39
greenmachine-ahmed,greenmachine,2.00,3.00,9.06,27.98,1.56,0.52
lostangels-john,lostangels,3.00,4.00,8.14,0.01,0.06,0.20
dropbears-mary,dropbears,3.00,2.00,7.26,-3.05,9.09,0.05
dropbears-ed,dropbears,3.00,2.00,7.26,-3.05,9.09,0.05
dropbears-ray,dropbears,3.00,2.00,7.26,-3.05,9.09,0.05
bbcballers-lisa,bbcballers,4.00,2.00,6.96,18.60,6.48,0.18
bbcballers-suhail,bbcballers,4.00,2.00,6.96,18.60,6.48,0.18
lions-alfie,lions,2.00,4.00,4.41,-2.40,4.01,-0.24
rockets-darnell,rockets,3.00,3.00,3.99,17.72,-0.33,0.34
lions-telle,lions,3.00,3.00,-0.52,10.16,0.18,0.43
lions-mychelle,dropbears,2.00,3.00,-1.82,-16.61,6.11,-0.20
dropbears-hayley,dropbears,2.00,3.00,-1.82,-16.61,6.11,-0.20
dropbears-martin,dropbears,2.00,3.00,-1.82,-16.61,6.11,-0.20
bbcballers-arthur,bbcballers,3.00,3.00,-2.06,13.19,6.60,0.17
bbcballers-james,bbcballers,3.00,3.00,-2.06,13.19,6.60,0.17
rockets-daisy,rockets,2.00,4.00,-2.63,13.31,-3.43,-0.01
lostangels-sophie,lostangels,5.00,2.00,-5.17,-6.26,-3.32,-0.25
camdenhells-davidgalindo,camdenhells,3.00,2.00,-5.55,15.69,-2.42,0.32
rockets-anna,camdenhells,3.00,2.00,-5.55,15.69,-2.42,0.32
lostangels-carlos,lostangels,5.00,2.00,-7.12,-0.64,-0.96,-0.34
burritos-stuart,burritos,4.00,2.00,-9.41,-5.73,3.72,-0.18
bbcballers-saulius,bbcballers,2.00,4.00,-10.98,16.75,-2.79,-0.01
lions-kata,lions,4.00,2.00,-11.68,-18.64,-0.04,-0.48
camdenhells-lauren,lions,2.00,4.00,-12.87,10.74,1.08,0.50
camdenhells-lauren,camdenhells,2.00,3.00,-13.33,10.96,5.30,0.53
rockets-patricia,rockets,4.00,2.00,-14.47,7.90,-2.28,0.04
rockets-thriston,rockets,4.00,2.00,-14.47,7.90,-2.28,0.04
burritos-suzi,burritos,3.00,3.00,-15.93,4.81,-3.33,0.37
lions-foley,lions,2.00,4.00,-16.09,-16.24,-4.05,-0.14
lions-gus,lions,3.00,3.00,-16.65,10.16,0.18,0.22
saturdays-claire,lostangels,2.00,5.00,-17.87,-9.50,2.49,-0.46
lions-diego,lions,3.00,3.00,-21.30,-17.19,0.74,-0.39
camdenhells-sean,camdenhells,2.00,3.00,-31.57,7.89,-3.95,0.27
burritos-sylwia,burritos,4.00,2.00,-32.05,24.83,-3.57,0.87
lostangels-sophie,camdenhells,2.00,2.00,-46.84,-8.50,-3.49,0.13
