team,player,fg*,3pt,ft,oreb,dreb,foul,stl,to,blk,asst,+/-,min,pts
lions,lions-kata,6-14,1-1,1-2,1,1,1,4,2,0,2,42,0,14
lions,lions-tony,4-11,4-9,0-0,0,2,0,1,2,0,4,33,0,12
lions,lions-saulius,1-7,0-2,3-4,3,13,5,3,1,0,1,32,0,5
lions,lions-diego,2-9,0-1,0-2,1,5,1,3,5,0,1,36,0,4
lions,lions-alfie,2-4,0-0,0-2,3,5,1,2,5,0,2,25,0,4
lions,lions-mychelle,1-9,0-1,1-2,2,0,2,3,4,0,1,42,0,3
lions,lions,16-54,5-14,5-12,10,26,10,16,19,0,11,-,-,42
greenmachine,greenmachine-alex,6-10,0-0,1-6,2,11,2,3,4,2,1,13
greenmachine,greenmachine-andris,6-12,0-0,0-0,0,2,1,4,4,0,4,12
greenmachine,greenmachine-itai,3-12,1-3,0-0,0,6,2,3,3,2,2,7
greenmachine,greenmachine-allison,2-4,0-0,0-0,0,2,1,0,3,0,1,4
greenmachine,greenmachine-iestyn,1-6,0-0,0-0,0,4,0,0,3,0,0,2
greenmachine,greenmachine-marina,0-2,0-0,0-0,0,0,0,1,4,0,1,0
greenmachine,greenmachine-victoria,0-1,0-1,0-0,0,1,0,0,1,0,1,0
