team,player,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
burritos,burritos-stuart,6,2,9,22.2,0,3,0.0,2,2,100.0,2,7,9,2,2,1,0,1,0,1,9
burritos,burritos-tom,16,5,5,100.0,4,4,100.0,2,2,100.0,0,5,5,10,5,2,0,0,1,1,28
burritos,burritos-sylwia,8,4,8,50.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6
burritos,burritos-alex,22,9,14,64.3,4,5,80.0,0,0,0,0,7,7,6,2,2,0,1,1,1,29
burritos,burritos-armelle,3,1,1,100.0,0,0,0,1,2,50.0,0,2,2,0,2,0,0,0,0,1,3
burritos,dropbears-mary,7,3,10,30.0,1,4,25.0,0,0,0,1,0,1,2,0,1,0,0,0,1,5
burritos,greenmachine-ahmed,9,4,7,57.1,1,1,100.0,0,0,0,1,4,5,1,0,1,0,1,1,0,11
burritos,total,71,28,54,51.9,10,17,58.8,5,6,83.3,7,28,35,22,11,8,0,3,3,5,97
camdenhells,camdenhells-anna,2,1,6,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
camdenhells,camdenhells-lauren,6,3,6,50.0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,1,0,2
camdenhells,camdenhells-davidgalindo,10,4,11,36.4,1,4,25.0,1,2,50.0,1,4,5,7,2,1,0,0,1,2,14
camdenhells,camdenhells-sean,4,2,7,28.6,0,1,0.0,0,0,0,1,2,3,2,3,3,0,0,0,1,5
camdenhells,lions-gus,4,2,7,28.6,0,0,0,0,0,0,2,5,7,1,1,2,3,0,1,0,10
camdenhells,lostangels-sophie,12,6,7,85.7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,14
camdenhells,camdenhells-nick,8,4,11,36.4,0,0,0,0,0,0,1,3,4,2,1,2,0,0,1,0,7
camdenhells,total,46,22,55,40.0,1,5,20.0,1,2,50.0,5,19,24,14,10,8,3,0,5,3,49
