team_name,player_id,player_gender,player_name,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
Burritos,,,,50,22,44,50.0,1,5,20.0,5,10,50.0,9,27,36,14,7,5,3,0,4,0,70
Burritos,burritos-alex,m,AlexConn,6,3,4,75.0,0,0,0,0,0,0,3,6,9,3,1,1,0,0,0,0,17
Burritos,burritos-armelle,f,Armelle,0,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0
Burritos,burritos-suzi,f,Suzi,0,0,4,0,0,1,0,0,0,0,2,0,2,2,0,1,0,0,0,0,1
Burritos,burritos-sylwia,f,Sylwia,7,3,9,33.3,0,0,0,1,2,50.0,0,1,1,0,0,0,0,0,0,0,1
Burritos,burritos-wouter,m,Wouter,23,10,13,76.9,0,0,0,3,7,42.9,2,9,11,2,2,0,3,0,3,0,27
Burritos,burritos-tom,m,Tom,5,2,5,40.0,1,4,25.0,0,0,0,0,7,7,7,4,2,0,0,0,0,14
Burritos,dropbears-mary,f,Mary,9,4,7,57.1,0,0,0,1,1,100.0,0,3,3,0,0,1,0,0,0,0,10
North L Lions,,,,29,12,47,25.5,3,12,25.0,2,4,50.0,7,11,18,9,8,7,0,0,8,0,10
North L Lions,northlondonlions-tanky,u,Tanky,13,5,15,33.3,1,5,20.0,2,2,100.0,2,5,7,2,2,0,0,0,3,0,7
North L Lions,northlondonlions-banksy,u,Banksy,5,2,5,40.0,1,1,100.0,0,0,0,1,1,2,1,1,1,0,0,0,0,5
North L Lions,northlondonlions-luke,u,Luke,3,1,11,9.1,1,5,20.0,0,0,0,2,3,5,3,2,3,0,0,3,0,-1
North L Lions,northlondonlions-kylie,u,Kylie,0,0,3,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,1,0,1
North L Lions,northlondonlions-kat,u,Kitty-Kat,2,1,4,25.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-2
North L Lions,northlondonlions-kia,u,Kia,6,3,9,33.3,0,0,0,0,2,0,2,1,3,0,2,1,0,0,0,0,0
