game_id,team_id,team_name,num_players,opp_team_id,opp_team_name,opp_num_players,outcome,opp_pts,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,fd,pir
20191017-1930-burritos-northlondonlions,burritos,Burritos,7,northlondonlions,North L Lions,6,w,29,50,22,44,50.0,1,5,20.0,5,10,50.0,9,27,36,14,7,5,3,0,4,0,70
20191017-1930-burritos-northlondonlions,northlondonlions,North L Lions,6,burritos,Burritos,7,d,50,29,12,47,25.5,3,12,25.0,2,4,50.0,7,11,18,9,8,7,0,0,8,0,10
20191017-2015-camdenhells-lostangels,camdenhells,Camden Hells,7,lostangels,Lost Angels,5,d,56,34,15,54,27.8,1,18,5.6,3,4,75.0,5,20,25,8,6,5,4,0,3,0,27
20191017-2015-camdenhells-lostangels,lostangels,Lost Angels,5,camdenhells,Camden Hells,7,w,34,56,23,56,41.1,7,26,26.9,3,3,100.0,9,28,37,17,8,2,3,0,5,0,69
20191017-2100-greenmachine-lions,greenmachine,Green Machine,7,lions,Lions,6,d,39,34,13,44,29.5,2,13,15.4,6,15,40.0,13,18,31,4,9,6,1,0,6,0,21
20191017-2100-greenmachine-lions,lions,Lions,6,greenmachine,Green Machine,7,w,34,39,15,49,30.6,3,12,25.0,6,9,66.7,17,16,33,8,10,4,0,0,7,0,30
20191024-1845-lions-lostangels,lions,Lions,7,lostangels,Lost Angels,5,d,61,33,14,62,22.6,4,22,18.2,1,6,16.7,10,21,31,8,10,9,0,2,6,4,14
20191024-1845-lions-lostangels,lostangels,Lost Angels,5,lions,Lions,7,w,33,61,29,59,49.2,0,7,0,3,5,60.0,9,41,50,17,14,6,2,0,4,6,92
20191024-1930-greenmachine-northlondonlions,greenmachine,Green Machine,8,northlondonlions,North L Lions,7,d,57,42,17,46,37.0,2,10,20.0,6,10,60.0,9,25,34,15,16,4,0,1,8,11,48
20191024-1930-greenmachine-northlondonlions,northlondonlions,North L Lions,7,greenmachine,Green Machine,8,w,42,57,24,61,39.3,6,27,22.2,3,5,60.0,13,20,33,13,9,10,1,0,11,8,63
20191024-2015-camdenhells-rockets,camdenhells,Camden Hells,7,rockets,Rockets,8,d,49,29,11,31,35.5,1,7,14.3,6,15,40.0,4,19,23,7,20,5,1,0,14,16,18
20191024-2015-camdenhells-rockets,rockets,Rockets,8,camdenhells,Camden Hells,7,w,29,49,19,45,42.2,4,8,50.0,7,14,50.0,11,19,30,11,13,16,0,1,16,14,57
20191031-1845-hotshots-camdenhells,hotshots,Hot Shots,8,camdenhells,Camden Hells,9,d,58,37,14,41,34.1,3,10,30.0,6,12,50.0,5,21,26,9,12,2,4,5,14,9,23
20191031-1845-hotshots-camdenhells,camdenhells,Camden Hells,9,hotshots,Hot Shots,8,w,37,58,24,63,38.1,0,5,0,10,19,52.6,23,23,46,21,4,7,5,4,9,14,86
20191031-1930-greenmachine-burritos,greenmachine,Green Machine,7,burritos,Burritos,8,d,47,27,11,46,23.9,4,16,25.0,1,3,33.3,10,26,36,6,23,7,1,4,8,4,9
20191031-1930-greenmachine-burritos,burritos,Burritos,8,greenmachine,Green Machine,7,w,27,47,19,54,35.2,2,18,11.1,7,13,53.8,13,24,37,12,12,16,4,1,4,8,66
20191031-2015-lostangels-northlondonlions,lostangels,Lost Angels,5,northlondonlions,North L Lions,8,d,59,55,24,58,41.4,4,13,30.8,3,9,33.3,15,25,40,19,14,10,1,3,11,10,67
20191031-2015-lostangels-northlondonlions,northlondonlions,North L Lions,8,lostangels,Lost Angels,5,w,55,59,22,54,40.7,12,24,50.0,3,8,37.5,11,22,33,13,14,9,3,1,10,11,66
20191031-2100-lions-rockets,lions,Lions,6,rockets,Rockets,7,d,49,38,15,39,38.5,4,13,30.8,4,8,50.0,5,14,19,8,16,13,0,1,15,8,26
20191031-2100-lions-rockets,rockets,Rockets,7,lions,Lions,6,w,38,49,21,41,51.2,0,3,0,7,23,30.4,13,21,34,7,17,8,1,0,8,15,53
20191017-1845-hotshots-rockets,rockets,Rockets,8,hotshots,Hot Shots,9,w,22,70,30,65,46.2,2,9,22.2,8,13,61.5,23,23,46,21,3,11,0,2,16,10,97
20191017-1845-hotshots-rockets,hotshots,Hot Shots,9,rockets,Rockets,8,d,70,22,6,31,19.4,2,6,33.3,8,15,53.3,5,15,20,4,18,3,2,0,10,16,7
